,,,,,,,,,,,Performance,,,,,,,,,,,,,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
8/29/11,Mon,La Liga,Matchweek 2,Home,W 5–0,Barcelona,Villarreal,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
9/10/11,Sat,La Liga,Matchweek 3,Away,D 2–2,Barcelona,Real Sociedad,N,,30,0,,0,,,,1,0,,,,,,,0,,,Match Report
9/13/11,Tue,Champions Lg,Group stage,Home,D 2–2,es Barcelona,it Milan,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
9/17/11,Sat,La Liga,Matchweek 4,Home,W 8–0,Barcelona,Osasuna,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Match Report
9/21/11,Wed,La Liga,Matchweek 5,Away,D 2–2,Barcelona,Valencia,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
9/24/11,Sat,La Liga,Matchweek 6,Home,W 5–0,Barcelona,Atlético Madrid,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Match Report
9/28/11,Wed,Champions Lg,Group stage,Away,W 5–0,es Barcelona,by BATE Borisov,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
10/2/11,Sun,La Liga,Matchweek 7,Away,W 1–0,Barcelona,Sporting Gijón,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
10/7/11,Fri,WCQ,WCQ — CONMEBOL (M),Home,W 4–1,ar Argentina,cl Chile,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
10/11/11,Tue,WCQ,WCQ — CONMEBOL (M),Away,L 0–1,ar Argentina,ve Venezuela,Y*,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
10/15/11,Sat,La Liga,Matchweek 8,Home,W 3–0,Barcelona,Racing Sant,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
10/19/11,Wed,Champions Lg,Group stage,Home,W 2–0,es Barcelona,cz Viktoria Plzeň,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
10/22/11,Sat,La Liga,Matchweek 9,Home,D 0–0,Barcelona,Sevilla,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
10/25/11,Tue,La Liga,Matchweek 10,Away,W 1–0,Barcelona,Granada,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
10/29/11,Sat,La Liga,Matchweek 11,Home,W 5–0,Barcelona,Mallorca,Y,,90,3,,1,,,,0,0,,,,,,,0,,,Match Report
11/1/11,Tue,Champions Lg,Group stage,Away,W 4–0,es Barcelona,cz Viktoria Plzeň,Y,,90,3,,1,,,,0,0,,,,,,,0,,,Match Report
11/6/11,Sun,La Liga,Matchweek 12,Away,D 2–2,Barcelona,Athletic Club,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
11/11/11,Fri,WCQ,WCQ — CONMEBOL (M),Home,D 1–1,ar Argentina,bo Bolivia,Y*,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
11/15/11,Tue,WCQ,WCQ — CONMEBOL (M),Away,W 2–1,ar Argentina,co Colombia,Y*,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
11/19/11,Sat,La Liga,Matchweek 13,Home,W 4–0,Barcelona,Zaragoza,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
11/23/11,Wed,Champions Lg,Group stage,Away,W 3–2,es Barcelona,it Milan,Y,,90,1,,1,,,,1,0,,,,,,,0,,,Match Report
11/26/11,Sat,La Liga,Matchweek 14,Away,L 0–1,Barcelona,Getafe,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
11/29/11,Tue,La Liga,Matchweek 17,Home,W 4–0,Barcelona,Rayo Vallecano,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
12/3/11,Sat,La Liga,Matchweek 15,Home,W 5–0,Barcelona,Levante,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/11,Sat,La Liga,Matchweek 16,Away,W 3–1,Barcelona,Real Madrid,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
1/8/12,Sun,La Liga,Matchweek 18,Away,D 1–1,Barcelona,Espanyol,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
1/15/12,Sun,La Liga,Matchweek 19,Home,W 4–2,Barcelona,Betis,Y,,90,2,,1,,,,1,0,,,,,,,0,,,Match Report
1/22/12,Sun,La Liga,Matchweek 1,Away,W 4–1,Barcelona,Málaga,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Match Report
1/28/12,Sat,La Liga,Matchweek 21,Away,D 0–0,Barcelona,Villarreal,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2/4/12,Sat,La Liga,Matchweek 22,Home,W 2–1,Barcelona,Real Sociedad,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2/11/12,Sat,La Liga,Matchweek 23,Away,L 2–3,Barcelona,Osasuna,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2/14/12,Tue,Champions Lg,Round of 16,Away,W 3–1,es Barcelona,de Leverkusen,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2/19/12,Sun,La Liga,Matchweek 24,Home,W 5–1,Barcelona,Valencia,Y,,90,4,,0,,,,0,0,,,,,,,0,,,Match Report
2/26/12,Sun,La Liga,Matchweek 25,Away,W 2–1,Barcelona,Atlético Madrid,Y,,90,1,,0,,,,1,0,,,,,,,0,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/12,Wed,Champions Lg,Round of 16,Home,W 7–1,es Barcelona,de Leverkusen,Y,,90,5,,0,,,,0,0,,,,,,,0,,,Match Report
3/11/12,Sun,La Liga,Matchweek 27,Away,W 2–0,Barcelona,Racing Sant,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Match Report
3/17/12,Sat,La Liga,Matchweek 28,Away,W 2–0,Barcelona,Sevilla,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
3/20/12,Tue,La Liga,Matchweek 29,Home,W 5–3,Barcelona,Granada,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Match Report
3/24/12,Sat,La Liga,Matchweek 30,Away,W 2–0,Barcelona,Mallorca,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
3/28/12,Wed,Champions Lg,Quarter-finals,Away,D 0–0,es Barcelona,it Milan,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
3/31/12,Sat,La Liga,Matchweek 31,Home,W 2–0,Barcelona,Athletic Club,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Match Report
4/3/12,Tue,Champions Lg,Quarter-finals,Home,W 3–1,es Barcelona,it Milan,Y,,90,2,,2,,,,0,0,,,,,,,0,,,Match Report
4/7/12,Sat,La Liga,Matchweek 32,Away,W 4–1,Barcelona,Zaragoza,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Match Report
4/10/12,Tue,La Liga,Matchweek 33,Home,W 4–0,Barcelona,Getafe,Y,,90,1,,0,,,,1,0,,,,,,,0,,,Match Report
4/14/12,Sat,La Liga,Matchweek 34,Away,W 2–1,Barcelona,Levante,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Match Report
4/18/12,Wed,Champions Lg,Semi-finals,Away,L 0–1,es Barcelona,eng Chelsea,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
4/21/12,Sat,La Liga,Matchweek 35,Home,L 1–2,Barcelona,Real Madrid,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
4/24/12,Tue,Champions Lg,Semi-finals,Home,D 2–2,es Barcelona,eng Chelsea,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
4/29/12,Sun,La Liga,Matchweek 36,Away,W 7–0,Barcelona,Rayo Vallecano,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
5/2/12,Wed,La Liga,Matchweek 20,Home,W 4–1,Barcelona,Málaga,Y,,90,3,,2,,,,0,0,,,,,,,0,,,Match Report
5/5/12,Sat,La Liga,Matchweek 37,Home,W 4–0,Barcelona,Espanyol,Y,,90,4,,2,,,,0,0,,,,,,,0,,,Match Report
5/12/12,Sat,La Liga,Matchweek 38,Away,D 2–2,Barcelona,Betis,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
6/2/12,Sat,WCQ,WCQ — CONMEBOL (M),Home,W 4–0,ar Argentina,ec Ecuador,Y*,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
,,,,,37-11-5,,,52/53,,"4,710",67,0,14,0,,,8,0,,,,,,,0,,,